"STCD"	"JS"	"ZF"	"JSSZ"	"FZQX"	"SQ"
"        "	"1"				
"60102400"	"1"	"1"			
"60102650"	"1"				
"60103090"	"1"				
"60104600"	"1"				
"60105500"	"1"				
"60105900"	"1"				
"60106300"	"1"				
"60106600"	"1"				
"60106800"	"1"				
"60106900"	"1"				
"60107000"	"1"				
"60107070"	"1"				
"60107100"	"1"				
"60107110"	"1"				
"60107165"	"1"				
"60107270"	"1"				
"60107401"	"1"				
"60107402"	"1"				
"60107405"	"1"				
"60108100"	"1"				
"60109400"	"1"				
"60110220"	"1"				
"60110230"	"1"				
"60111200"	"1"				
"60111700"	"1"				
"60112900"	"1"				
"60113205"	"1"				
"60513900"	"1"				
"60540350"	"1"	"1"			"1"
"61500500"	"1"				
"61501400"	"1"				
"61501600"	"1"				
"61501601"	"1"				
"61503200"	"1"				
"61506200"	"1"				
"61506500"	"1"				
"61506600"	"1"				
"61507700"	"1"				
"61508300"	"1"				
"61508400"	"1"				
"61509500"	"1"				
"61509900"	"1"				
"61511000"	"1"				
"61511900"	"1"				
"61705032"	"1"				
"61801775"	"1"				
"61801850"	"1"				
"61802600"	"1"				
"61803000"	"1"				
"61804111"	"1"				
"61804210"	"1"				
"61804300"	"1"				
"61804400"	"1"				
"61936950"	"1"	"1"			
