"STCD"	"SADR_S"	"SADR_Q"	"SADR_X"	"SADR_Z"	"SADR_JD"	"LGTD_D"	"LGTD_F"	"LGTD_M"	"LTTD_D"	"LTTD_F"	"LTTD_M"	"DTNEL"	"BASICALPLANE"	"BPXZZ"
"51501510"	"湖北省"	"荆州市"		"里甲口镇"	"电排站"	"112"	"6"	"51"	"30"	"7"	"60"	"42.91"	"8"	"0"
"60100800"	"四川省"		"德格县"	"龚垭乡"	"康公村"	"98"	"35"	"42"	"31"	"37"	"21"	"3585.216"	"8"	
"60101000"	"四川省"		"巴塘县"	"竹巴笼乡"	"竹巴笼村"	"99"	"0"	"36"	"29"	"46"	"49"	"2489.715"	"8"	
"60101010"	"云南省"		"德钦县"	"羊拉乡"	"茂顶村"	"99"	"7"	"42.2"	"28"	"44"	"34.2"	"2164.338"	"2"	"0"
"60101100"	"云南省"		"德钦县"	"奔子栏镇"	"下社村"	"99"	"18"	"17.5"	"28"	"14"	"16"	"2022.678"	"2"	"-0.174"
"60101280"	"云南省"		"玉龙县"	"塔城乡"	"塔城村"	"99"	"33"	"50.8"	"27"	"29"	"2.6"	"1894.447"	"1"	"0"
"60101300"	"云南省"		"玉龙县"	"石鼓镇"	"大同村"	"99"	"57"	"44.1"	"26"	"53"	"25.3"	"1834.642"	"4"	"-0.174"
"60101500"	"云南省"		"香格里拉县"	"长胜乡"	"下诺于村"	"100"	"5"	"42.8"	"27"	"10"	"39.3"	"1818.249"	"2"	"0"
"60101600"	"云南省"	"丽江市"	"宁蒗县"	"翠玉乡"	"库枝村"	"100"	"30"	"28.1"	"27"	"20"	"8.4"	"1453.195"	"2"	"-0.021"
"60101700"	"云南省"		"永胜县"	"大安乡"	"光美村"	"100"	"25"	"28"	"26"	"47"	"43.1"	"1315.333"	"2"	"-0.026"
"60101800"	"云南省"		"鹤庆县"	"朵美乡"	"中江街"	"100"	"25"	"51.4"	"26"	"29"	"31.8"	"1240.757"	"8"	
"60102080"	"四川省"	"攀枝花市"	"仁和区"	"太平乡"	"灰加所村"	"101"	"37"	"49.3"	"26"	"34"	"22.7"	"1021.99"	"2"	"0"
"60102100"	"四川省"	"攀枝花市"			"江南三路三村"	"101"	"42"	"9.3"	"26"	"34"	"7.3"	"1007.642"	"2"	"-0.082"
"60102150"	"四川省"	"攀枝花市"		"银江镇"	"小沙坝村"	"101"	"47"	"0"	"26"	"36"	"0"	"989.46"	"1"	"-0.082"
"60102200"	"四川省"	"攀枝花市"	"盐边县"	"桐子林镇"	"三堆子村"	"101"	"50"	"4.2"	"26"	"35"	"8.7"	"996.49"	"2"	"-0.082"
"60102400"	"云南省"		"元谋县"	"江边乡"	"江边村"	"101"	"52"	"52"	"25"	"57"	"41.5"	"952.088"	"4"	
"60102525"	"云南省"		"禄劝县"	"大松树乡"	"金江村"	"102"	"36"	"59.2"	"26"	"20"	"47.9"	"826.235"	"8"	
"60102526"	"云南省"		"禄劝县"	"大松树乡"	"金江村"	"102"	"37"	"17.3"	"26"	"20"	"42.5"	"818.912"	"8"	"0"
"60102530"	"云南省"		"禄劝县"	"大松树乡"	"金坪子村"	"102"	"38"	"6.7"	"26"	"18"	"56.3"	"821.109"	"8"	"0"
"60102650"	"云南省"	"昆明市"	"东川区"	"拖布卡镇"	"格勒村"	"103"	"3"	"10.4"	"26"	"31"	"15.1"	"718.557"	"2"	"0"
"60102800"	"四川省"		"宁南县"	"华弹镇"	"永乐村"	"102"	"54"	"43.4"	"26"	"53"	"32.7"	"683.996"	"4"	"-8.373"
"60103090"	"四川省"		"金阳县"	"春江乡"	"春江村"	"103"	"8"	"46.8"	"27"	"27"	"56.7"	"553.182"	"2"	"0"
"60103300"	"云南省"	"昭通市"	"绥江县"	"会仪镇"	"黄坪村"	"104"	"10"	"28.3"	"28"	"38"	"49.2"	"388.498"	"4"	
"60103400"	"四川省"	"宜宾市"	"宜宾县"	"安边镇"	"莲花池村"	"105"	"27"	"26.3"	"28"	"49"	"33.4"	"292.146"	"2"	"0.092"
"60103800"	"四川省"	"宜宾市"			"戎州大桥旁"	"104"	"38"	"24.7"	"28"	"45"	"43.7"	"282.731"	"4"	"-1.437"
"60104100"	"四川省"	"宜宾市"		"李庄镇"	"豆芽码头"	"104"	"48"	"23.6"	"28"	"49"	"39.6"	"269.408"	"4"	"-1.437"
"60104500"	"四川省"	"泸州市"		"小市镇"	"麻沙桥"	"106"	"27"	"32.3"	"29"	"48"	"49.5"	"260.972"	"4"	"-1.458"
"60104600"	"四川省"		"合江县"	"合江镇"	"马街子"	"105"	"51"	"4.8"	"28"	"48"	"11.1"	"230.447"	"4"	"-1.377"
"60104800"	"重庆市"	"永川区"		"朱沱镇"	"福龙桥社区"	"105"	"50"	"56.5"	"29"	"0"	"48.9"	"220.463"	"4"	"-1.381"
"60104810"	"重庆市"	"江津区"		"朱杨溪镇"	"横梁街"	"105"	"56"	"30.4"	"29"	"3"	"46.4"	"213.758"	"2"	"0.078"
"60104820"	"重庆市"	"江津区"		"石门镇 "	"石门居10组"	"106"	"1"	"46.1"	"29"	"5"	"59.6"	"214.899"	"2"	"0.074"
"60104830"	"重庆市"	"江津区"		"白沙镇    "	"滩盘村"	"106"	"7"	"0.7"	"29"	"4"	"15.8"	"207.784"	"2"	"0.08"
