"STCD"	"GLDW"
"        "	"长江委水文局"
"60102400"	"长江委水文局"
"60102650"	"长江委水文局"
"60103090"	"长江委水文局"
"60104600"	"长江委水文局"
"60105500"	"长江委水文局"
"60105900"	"长江委水文局"
"60106300"	"长江委水文局"
"60106600"	"长江委水文局"
"60106800"	"长江委水文局"
"60106900"	"长江委水文局"
"60107000"	"长江委水文局"
"60107070"	"长江委水文局"
"60107100"	"长江委水文局"
"60107110"	"长江委水文局"
"60107165"	"长江委水文局"
"60107270"	"长江委水文局"
"60107401"	"长江委水文局"
"60107402"	"长江委水文局"
"60107405"	"长江委水文局"
"60108100"	"长江委水文局"
"60109400"	"长江委水文局"
"60110220"	"长江委水文局"
"60110230"	"长江委水文局"
"60111200"	"长江委水文局"
"60111700"	"长江委水文局"
"60112900"	"长江委水文局"
"60113205"	"长江委水文局"
"60513900"	"长江委水文局"
"60540350"	"长江委水文局"
"61500500"	"长江委水文局"
"61501400"	"长江委水文局"
"61501600"	"长江委水文局"
"61501601"	"长江委水文局"
"61503200"	"长江委水文局"
"61506200"	"长江委水文局"
"61506500"	"长江委水文局"
"61506600"	"长江委水文局"
"61507700"	"长江委水文局"
"61508300"	"长江委水文局"
"61508400"	"长江委水文局"
"61509500"	"长江委水文局"
"61509900"	"长江委水文局"
"61511000"	"长江委水文局"
"61511900"	"长江委水文局"
"61705032"	"长江委水文局"
"61801775"	"长江委水文局"
"61801850"	"长江委水文局"
"61802600"	"长江委水文局"
"61803000"	"长江委水文局"
"61804111"	"长江委水文局"
"61804210"	"长江委水文局"
"61804300"	"长江委水文局"
"61804400"	"长江委水文局"
"61936950"	"长江委水文局"
