"STCD"	"CNZC"	"XQZC"	"XC"	"WT"	"ZDJH"
"60100800"	"1"				"1"
"60101000"	"1"				"1"
"60101100"			"1"		"1"
"60101300"	"1"				"1"
"60101600"	"1"				"1"
"60101700"	"1"				"1"
"60101800"			"1"		"1"
"60102100"	"1"				"1"
"60102200"	"1"				"1"
"60102525"	"1"				"1"
"60102800"	"1"				"1"
"60103400"	"1"				"1"
"60104800"	"1"				"1"
"60105400"	"1"				"1"
"60105700"	"1"				"1"
"60106000"	"1"				"1"
"60201760"			"1"		"1"
"60406100"	"1"				"1"
"60513800"			"1"		"1"
"60513820"	"1"				"1"
"60513840"			"1"		"1"
"60603300"	"1"				"1"
"60614050"	"1"				"1"
"60703500"	"1"				"1"
"60703550"			"1"		"1"
"60703600"	"1"				"1"
"60712000"	"1"				"1"
"60715900"	"1"				"1"
"60802200"	"1"				"1"
"60802400"			"1"		"1"
"60802700"	"1"				"1"
"60803000"	"1"				"1"
"60812100"	"1"				"1"
"61500001"			"1"		"1"
"61500003"			"1"		"1"
"61502300"			"1"		"1"
"61503010"	"1"				"1"
"61503800"	"1"				"1"
"61505000"			"1"		"1"
"61505100"			"1"		"1"
"61505300"			"1"		"1"
"61505400"			"1"		"1"
"61505402"			"1"		"1"
"61505403"			"1"		"1"
"61505404"			"1"		"1"
"61505900"			"1"		"1"
"61507600"			"1"		"1"
"61507800"			"1"		"1"
"61508000"			"1"		"1"
"61508600"			"1"		"1"
"61508601"			"1"		"1"
"61509100"			"1"		"1"
"61509809"			"1"		"1"
"61510000"			"1"		"1"
"61512000"	"1"				"1"
"61703000"	"1"				"1"
"61705000"	"1"				"1"
"61705023"			"1"		"1"
"61705041"			"1"		"1"
"61705042"			"1"		"1"
"61709000"			"1"		"1"
