"STCD"	"WT"
"        "	
"60102400"	"1"
"60102650"	"1"
"60103090"	"1"
"60104600"	
"60105500"	
"60105900"	
"60106300"	
"60106600"	
"60106800"	"1"
"60106900"	
"60107000"	
"60107070"	"1"
"60107100"	
"60107110"	"1"
"60107165"	"1"
"60107270"	
"60107401"	
"60107402"	
"60107405"	
"60108100"	
"60109400"	
"60110220"	
"60110230"	
"60111200"	"1"
"60111700"	
"60112900"	
"60113205"	
"60513900"	
"60540350"	
"61500500"	
"61501400"	
"61501600"	
"61501601"	
"61503200"	
"61506200"	
"61506500"	"1"
"61506600"	"1"
"61507700"	"1"
"61508300"	
"61508400"	
"61509500"	"1"
"61509900"	"1"
"61511000"	
"61511900"	
"61705032"	"1"
"61801775"	
"61801850"	
"61802600"	"1"
"61803000"	"1"
"61804111"	
"61804210"	
"61804300"	
"61804400"	
"61936950"	"1"
