"STCD"	"ZGSW"	"ZGSWSJ"	"ZDSW"	"ZDSWSJ"	"SCHG"	"PJTS"
"51501510"					"设施齐全，长期河干"	"365"
"60101010"	"2158.03"	"2012.7.24"	"2145.85"	"2006.12.31"		
"60101280"	"1890.23"	"2012.7.24"	"1882.05"	"2012.1.25"		
"60101500"	"1822.16"	"2005.8.12"	"1803.7"	"2000.3.6"		
"60102080"	"1011.61"	"2012.7.27"	"997.75"	"2013.1.17"		
"60102150"						
"60102400"	"946.91"	"1993.8.31"	"925.37"	"2012.4.1"		
"60102526"	"815.51"	"2012.7.28"	"791.67"	"2012.3.26"		
"60102530"	"810.53"	"2013.7.24"	"790.19"	"2013.1.21"		
"60102650"	"711.11"	"2012.7.28"	"698.38"	"2012.4.03"		
"60103090"	"542.79"	"2012.7.29"	"526.18"	"2012.3.22"		
"60103300"	"303.14"	"1966.9.2"	"278.19"	"1960.4.3"		
"60103800"	"283.44"	"1966.9.6"	"258.35"	"1978.3.7"		
"60104100"	"276.13"	"1966.9.1"	"255.49"	"1999.3.16"		
"60104500"	"243.46"	"1955.7.15"	"224.0"	"1978.3.8"		
"60104600"	"225.87"	"2012.7.23"	"206.27"	"1987.3.14"		
"60104810"	"212.67"	"2012.7.23"	"191.59"	"1999.3.18"		
"60104820"	"209.4"	"2012.7.24"	"190.66"	"1999.3.18"		
"60104830"	"207.96"	"2012.7.24"	"187.45"	"1999.3.18"		
"60104840"	"206.3"	"2012.7.24"	"183.23"	"1999.3.18"		
"60104850"	"204.03"	"2012.7.24"	"182.3"	"1999.3.18"		
"60104860"	"201.68"	"2012.7.24"	"179.85"	"1999.3.18"		
"60104870"	"198.81"	"2012.7.24"	"178.79"	"1999.3.18"		
"60104880"	"196.6"	"2012.7.24"	"174.14"	"1999.3.18"		
"60104890"	"193.39"	"2012.7.24"	"172.14"	"1999.3.18"		
"60104891"	"194.96"	"2012.7.24"	"173"	"2007.2.28"		
"60104990"	"192.47"	"2012.7.24"	"170.34"	"2007.2.27"		
"60105000"	"191.94"	"2012.7.24"	"167.94"	"1998.3.25"		
"60105010"	"190.16"	"2012.7.24"	"164.7"	"1998.3.25"		
"60105020"	"188.56"	"2012.7.24"	"161.78"	"1998.3.25"		
"60105030"	"186.7"	"2012.7.24"	"158.14"	"1998.3.27"		
"60105410"	"183.7"	"2012.7.24"	"155.79"	"1998.2.20"		
"60105420"	"181.59"	"2012.7.24"	"152.95"	"1998.2.20"		
"60105430"	"178.68"	"2012.7.24"	"151.37"	"1998.2.20"		
"60105440"	"177.33"	"2012.7.24"	"150.31"	"1998.2.20"		
"60105450"	"176.82"	"2012.7.24"	"149.21"	"1998.2.20"		
"60105460"	"175.98"	"2012.7.24"	"145.92"	"1998.2.20"		
"60105500"	"179.16"	"1981.7.17"	"143.88"	"1941.2.12"		
"60105510"	"174.07"	"2011.11.07"	"141.67"	"2003.03.01"		
"60105520"	"174.01"	"2011.11.07"	"139"	"1999.03.19"		
"60105530"	"174.02"	"2011.11.07"	"136.81"	"1999.03.11"		
"60105540"	"173.98"	"2011.11.07"	"136.06"	"2003.02.08"		
"60105730"	"173.96"	"2011.11.07"	"129.49"	"1999.03.11"		
"60105740"	"174.02"	"2011.11.07"	"126.16"	"2003.02.09"		
"60105900"	"175.63"	"2011.11.7"	"118.39"	"1963.4.5"		
"60105920"	"173.8"	"2011.11.7"	"107.41"	"2003.2.27"		
"60106100"	"173.69"	"2011.11.7"	"88.83"	"2003.2.10"		
"60106130"	"173.63"	"2011.11.7"	"80.79"	"1999.3.12"		
"60106300"	"175.42"	"2011.11.7"	"75.01"	"1979.3.7"		
"60106600"	"175.26"	"2011.11.7"	"63.15"	"1979.3.7"		
"60106700"	"175.04"	"2010.11.02"	"54.77"	"1979.03.08"		
"60106800"	"175.03"	"2010.11.02"	"50.43"	"1960.02.11"		
"60106900"	"175.06"	"2010.11.02"	"42.11"	"1973.04.01"		
"60106910"	"175.04"	"2010.11.02"	"134.89"	"2003.08.04"		
"60106990"	"175.04"	"2010.11.02"	"65.07"	"1994.02.23"		
"60107000"	"175.05"	"2010.11.02"	"40.17"	"1979.03.08"		
"60107040"						
"60107070"	"73.29"	"2004.09.09"	"63.43"	"2006.03.19"		
"60107080"						
"60107100"	"75.18"	"1981.07.09"	"39.58"	"1979.03.08"		
"60107110"	"74.28"	"2004.09.08"	"63.46"	"2006.02.13"		
"60107120"						
"60107130"	"73.61"	"2004.09.09"	"63.45"	"2006.02.13"		
"60107140"	"73.37"	"1998.08.12"	"63.4"	"2006.02.13"		
"60107160"	"73.35"	"1998.08.16"	"63.45"	"2006.02.11"		
"60107165"	"72.85"	"2004.09.09"	"63.42"	"2006.02.11"		
"60107180"	"71.28"	"1998.07.24"	"59.34"	"1982.04.10"		
"60107181"	"69.33"	"2004.09.08"	"63.32"	"2006.04.16"		
"60107182"	"68.96"	"2004.09.09"	"63.31"	"2006.04.15"		
