"STCD"	"DNPJJLL"	"ZDLL"	"ZDLLSJ"	"ZXLL"	"ZXLLSJ"
"60100800"	"170.4"	"3800"	"2005.8.04"		"63"
"60101000"	"294.3"	"5900"	"1954.07.26"		"149"
"60101100"	"359.8"	"6900"	"2005.8.11"		"220"
"60101300"	"419.6"	"8080"	"2005.8.12"		"295"
"60101600"	"504.8"	"7700"	"2012.07.26"		"0"
"60101700"	"539.2"	"7950"	"2012.7.26"		"15"
"60101800"	"547.3"	"7790"	"2012.7.26"		"319"
"60102100"	"564.3"	"12200"	"1966.8.31"		"217"
"60102200"	"1074"	"16600"	"2009.8.14"		"652"
"60102525"	"1149"	"20100"	"2005.8.12"		"690"
"60102800"	"1273"	"25800"	"1966.9.1"		"622"
"60103400"	"1299"	"17500"	"2009.08.16"		"941"
"60104800"	"2653"	"55800"	"2012.07.23"		"1920"
"60105400"	"3513"	"86200"	"1981.07.16"		"2060"
"60105700"	"3847"	"63200"	"1987.7.22"		"2880"
"60106000"	"4098"	"76400"	"1981.7.17"		"2690"
"60201760"	"47.33"	"1780"	"1987.8.24"		"21"
"60406100"	"83.47"	"7140"	"1992.07.13"		"17.4"
"60513800"	"7.795"	"1140"	"2007.6.18"		"4.06"
"60513820"	"20.31"	"3380"	"2005.7.1"		"10.3"
"60513840"	"4.083"	"817"	"2007.6.18"		"0.977"
"60603300"	"854.8"	"34100"	"1961.06.29"		"364"
"60614050"	"89.68"	"8680"	"2012.07.23"		"0.12"
"60703500"	"223.2"	"28900"	"1981.7.15"		"6.9"
"60703550"	"600"	"26000"	"2003.9.2"		"110"
"60703600"	"663"	"35700"	"2011.9.20"		"65.6"
"60712000"	"184.8"	"28100"	"2011.9.20"		"10.2"
"60715900"	"130.9"	"11200"	"2013.7.1"		"36.1"
"60802200"	"270"	"15100"	"1999.07.05"		"19.8"
"60802400"	"338"	"16200"	"1999.07.05"		"129"
"60802700"	"391.5"	"19500"	"1999.06.30"		"4.83"
"60803000"	"489"	"22800"	"1999.06.30"		"208"
"60812100"	"426"	"8010"	"2010.6.19"		"0"
"61500001"					
"61500003"					
"61502300"	"35.57"	"6470"	"1954.8.9"		"-985"
"61503010"	"179"	"5290"	"1955.6.27"		"0"
"61503800"	"263"	"12300"	"1998.7.24"		"0"
"61505000"	"101"	"3350"	"1981.7.20"		"-1780"
"61505100"	"11.46"	"3080"	"1998.7.24"		"-716"
"61505300"	"226"	"5100"	"1960.7.26"		"-750"
"61505400"	"116.5"	"2530"	"1991.7.8"		"-1110"
"61505402"					
"61505403"					
"61505404"					
"61505900"	"371"	"7270"	"1998.7.24"		"0"
"61507600"	"641"	"19000"	"2003.7.11"		"27"
"61507800"	"785"	"23100"	"2003.7.11"		"34.6"
"61508000"	"316.10"	"5620"	"2003.7.11"		"164"
"61508600"	"268.5"	"9310"	"1996.7.17"		"-1240"
"61508601"	"-34.7"	"1340"	"2004.7.20"		"-682"
"61509100"	"151.7"	"2340"	"1998.6.14"		"-834"
"61509809"					
"61510000"					
"61512000"	"2858.21"	"43900"	"1996.7.21"		"377"
"61703000"	"18.7"	"3440"	"2011.6.10"		"0"
"61705000"	"27.67"	"2670"	"1999.6.29"		"0"
"61705023"	"28"	"3030"	"1999.6.29"		"0"
"61705041"					
"61705042"					
"61709000"	"3.30"	"1450"	"1967.6.24"		"0.015"
