"STCD"	"SZRQY"	"SZRQM"	"ZLGL_JBZ"	"ZLGL_ZXHL"	"ZLGL_SHZH"	"ZLGL_QT"	"CZSX_HDZ"	"CZSX_SKZ"	"CZSX_HPZ"	"CZSX_CWZ"	"CZSX_QDZ"	"CZSX_QTZ"	"PBSQ"
"51501510"	"1954"	"7"				"1"			"1"				"1"
"60101010"	"2005"	"6"				"1"	"1"						
"60101280"	"2008"	"6"				"1"	"1"						
"60101500"	"1996"	"1"				"1"	"1"						
"60102080"	"2007"	"10"				"1"	"1"						
"60102150"	"2014"	"12"				"1"	"1"						
"60102400"	"1939"	"3"	"1"				"1"						"1"
"60102526"	"2007"	"7"				"1"	"1"						
"60102530"	"2004"	"2"				"1"	"1"						
"60102650"	"2009"	"6"				"1"	"1"						
"60103090"	"2009"	"6"				"1"	"1"						
"60103300"	"2013"	"8"	"1"					"1"					
"60103800"	"2006"	"6"	"1"				"1"						"1"
"60104100"	"1943"	"9"	"1"				"1"						"1"
"60104500"	"1935"	"1"	"1"				"1"						"1"
"60104600"	"1939"	"3"	"1"					"1"					"1"
"60104810"	"1998"	"1"				"1"		"1"					"1"
"60104820"	"1998"	"1"				"1"		"1"					"1"
"60104830"	"1998"	"1"				"1"		"1"					"1"
"60104840"	"1998"	"1"				"1"		"1"					"1"
"60104850"	"1998"	"1"				"1"		"1"					"1"
"60104860"	"1998"	"1"				"1"		"1"					"1"
"60104870"	"1998"	"1"				"1"		"1"					"1"
"60104880"	"1998"	"1"				"1"		"1"					
"60104890"	"1998"	"1"				"1"		"1"					"1"
"60104891"	"2006"	"6"				"1"		"1"					
"60104990"	"2006"	"10"				"1"		"1"					
"60105000"	"1996"	"11"				"1"		"1"					"1"
"60105010"	"1996"	"11"				"1"		"1"					"1"
"60105020"	"1996"	"11"				"1"		"1"					
"60105030"	"1996"	"11"				"1"		"1"					"1"
"60105410"	"1996"	"11"				"1"		"1"					"1"
"60105420"	"1996"	"11"				"1"		"1"					"1"
"60105430"	"1996"	"11"				"1"		"1"					
"60105440"	"1985"	"11"				"1"		"1"					"1"
"60105450"	"1996"	"11"				"1"		"1"					
"60105460"	"1996"	"11"				"1"		"1"					"1"
"60105500"	"1939"	"3"	"1"					"1"					"1"
"60105510"	"1983"	"8"				"1"	"1"						"1"
"60105520"	"1983"	"8"				"1"	"1"						"1"
"60105530"	"1996"	"12"				"1"	"1"						"1"
"60105540"	"1996"	"12"				"1"	"1"						
"60105730"	"1995"	"12"				"1"	"1"						"1"
"60105740"	"2000"	"1"				"1"	"1"						"1"
"60105900"	"1952"	"6"	"1"					"1"					"1"
"60105920"	"1983"	"10"				"1"		"1"					"1"
"60106100"	"1995"	"11"				"1"		"1"					"1"
"60106130"	"1995"	"11"				"1"		"1"					"1"
"60106300"	"1953"	"1"	"1"					"1"					"1"
"60106600"	"1951"	"4"	"1"					"1"					"1"
"60106700"	"1931"	"2"	"1"					"1"					"1"
"60106800"	"1931"	"1"	"1"					"1"					"1"
"60106900"	"1956"	"7"	"1"					"1"					
"60106910"	"2003"	"4"				"1"		"1"					
"60106990"	"1993"	"3"				"1"		"1"					
"60107000"	"1954"	"2"	"1"					"1"					"1"
"60107040"	"1996"	"1"				"1"	"1"						
"60107070"	"2003"	"3"				"1"		"1"					
"60107080"	"2001"	"1"				"1"	"1"						
"60107100"	"1953"	"6"	"1"					"1"					"1"
"60107110"	"1980"	"7"				"1"		"1"					
"60107120"	"1994"	"1"				"1"	"1"						
"60107130"	"1980"	"7"				"1"		"1"					
"60107140"	"1980"	"7"				"1"		"1"					
"60107160"	"1980"	"7"	"1"					"1"					
"60107165"	"2003"	"3"				"1"		"1"					
"60107180"	"1981"	"5"				"1"		"1"					
"60107181"	"2003"	"3"				"1"		"1"					
"60107182"	"2003"	"3"				"1"		"1"					
"60107190"	"1956"	"6"				"1"		"1"					
"60107191"	"2003"	"3"				"1"		"1"					
"60107195"	"1956"	"6"				"1"		"1"					
"60107200"	"1948"	"1"	"1"					"1"					"1"
"60107240"	"1971"	"5"				"1"		"1"					
"60107245"	"1980"	"12"	"1"					"1"					"1"
"60107255"	"1980"	"12"				"1"		"1"					
"60107260"	"1986"	"6"				"1"	"1"						
"60107265"	"1973"	"4"				"1"	"1"						
"60107270"	"1981"	"5"	"1"				"1"						"1"
"60107310"	"1971"	"8"				"1"	"1"						
"60107315"	"2005"	"1"				"1"	"1"						
"60107320"	"1987"	"6"				"1"	"1"						
"60107330"	"1965"	"7"				"1"	"1"						
"60107335"	"2005"	"1"				"1"	"1"						"1"
"60107337"	"2001"	"4"	"1"				"1"						"1"
"60107340"	"1981"	"1"				"1"	"1"						
"60107350"	"1982"	"4"	"1"				"1"						"1"
