"STNM"	"STCD"	"BSHNNM"	"HNNM"	"HL"	"DRAR"	"NT"
"里甲北(外)"	"51501510"	"F"	"FE"	"虎渡河"		
"岗拖(三)"	"60100800"	"F"	"F0"	"金沙江"	"149072"	"1、本站冻结基面系假定基面。2、冻结基面在黄海基面以上-548.056m。"
"巴塘(四)"	"60101000"	"F"	"F0"	"金沙江"	"180055"	"本站冻结基面为假定基面。"
"日冕"	"60101010"	"F"	"F0"	"金沙江"	"0"	
"奔子栏(三)"	"60101100"	"F"	"F0"	"金沙江"	"203320"	"1、冻结基面在""1985国家高程基准""以上-0.174m。
2、本站冻结基面系黄海(59)基面。"
"塔城"	"60101280"	"F"	"F0"	"金沙江"	"0"	
"石鼓"	"60101300"	"F"	"F0"	"金沙江"	"214184"	"1、冻结基面系吴淞基面(扬委)。 
2、冻结基面在""1985国家高程基准""以上-1.443m。"
"上虎跳峡"	"60101500"	"F"	"F0"	"金沙江"		
"阿海"	"60101600"	"F"	"F0"	"金沙江"	"235400"	"冻结基面在黄海(56)基面以上-0.021m"
"金安桥"	"60101700"	"F"	"F0"	"金沙江"	"239853"	"冻结基面在黄海(56)基面以上-0.026m"
"中江"	"60101800"	"F"	"F0"	"金沙江"	"241452"	"1、冻结基面系假定基面。2、冻结基面在假定基面以上0.000m。"
"老库滩"	"60102080"	"F"	"F0"	"金沙江"	"0"	
"攀枝花(二)"	"60102100"	"F"	"F0"	"金沙江"	"259177"	"1、本站冻结基面系黄海基面。
2、冻结基面在""1985国家高程基准""以上-0.082m"
"银江（上）"	"60102150"	"F"	"F0"	"金沙江"		
"三堆子(四)"	"60102200"	"F"	"F0"	"金沙江"	"388571"	"1、本站冻结基面系黄海基面。
2、冻结基面在""1985国家高程基准""以上-0.082m"
"龙街(三)"	"60102400"	"F"	"F0"	"金沙江"		
"乌东德"	"60102525"	"F"	"F0"	"金沙江"	"406142"	"本站冻结基面系假定基面。"
"黑磬盘"	"60102526"	"F"	"F0"	"金沙江"	"0"	
"金坪子(二)"	"60102530"	"F"	"F0"	"金沙江"	"0"	
"格勒"	"60102650"	"F"	"F0"	"金沙江"	"0"	
"华弹"	"60102800"	"F"	"F0"	"金沙江"	"425948"	"1、本站冻结基面系扬子江水利委员会吴淞基面。
2、冻结基面在“1985国家高程基准”以上-8.373m"
"春江"	"60103090"	"F"	"F0"	"金沙江"	"0"	
"屏山"	"60103300"	"F"	"F0"	"金沙江"	"458592"	
"向家坝"	"60103400"	"F"	"F0"	"金沙江"	"458800"	"1、冻结基面系黄海(59)基面。2、冻结基面在“1985国家高程基准”以上0.092m。"
"宜宾（二）"	"60103800"	"F"	"F0"	"金沙江"	"634315"	
"李庄"	"60104100"	"F"	"F0"	"长江"	"639227"	
"泸州（二）"	"60104500"	"F"	"F0"	"长江"	"673722"	
"合江"	"60104600"	"F"	"F0"	"长江"		
"朱沱 （三）"	"60104800"	"F"	"F0"	"长江"	"694725"	"1、本站冻结基面系吴淞基面(扬委)。2、冻结基面在“1985国家高程基准”以上-1.381m。"
"朱杨溪"	"60104810"	"F"	"F0"	"长江"	"0"	
"石门 "	"60104820"	"F"	"F0"	"长江"	"0"	
"滩  盘     "	"60104830"	"F"	"F0"	"长江"		
"金刚沱(二)      "	"60104840"	"F"	"F0"	"长江"		
"新街子   "	"60104850"	"F"	"F0"	"长江"	"0"	
"碾盘沱(二)    "	"60104860"	"F"	"F0"	"长江"		
"塔坪(二)    "	"60104870"	"F"	"F0"	"长江"		
"双  龙     "	"60104880"	"F"	"F0"	"长江"		
"小南海   "	"60104890"	"F"	"F0"	"长江"		
"大中                "	"60104891"	"F"	"F0"	"长江"		
"丰收坝    "	"60104990"	"F"	"F0"	"长江"	"0"	
"钓二嘴"	"60105000"	"F"	"F0"	"长江"		
"落中子            "	"60105010"	"F"	"F0"	"长江"		
"鹅公岩（二）              "	"60105020"	"F"	"F0"	"长江"		
"玄坛庙                "	"60105030"	"F"	"F0"	"长江"		
"寸滩"	"60105400"	"F"	"F0"	"长江"	"866559"	"1、本站冻结基面系吴淞基面。2、冻结基面在1985国家高程基准以上-1.487m。"
"铜锣峡                 "	"60105410"	"F"	"F0"	"长江"	"0"	
"鱼嘴  (三)  "	"60105420"	"F"	"F0"	"长江"	"0"	
