"STCD"	"ZDCB"	"PTZJ"	"GTCC"	"RGGD"
"51501510"				"1"
"60101010"			"1"	
"60101280"			"1"	
"60101500"			"1"	
"60102080"			"1"	
"60102150"				"1"
"60102400"			"1"	
"60102526"			"1"	
"60102530"			"1"	
"60102650"			"1"	
"60103090"			"1"	
"60103300"			"1"	"1"
"60103800"			"1"	"1"
"60104100"			"1"	"1"
"60104500"			"1"	"1"
"60104600"			"1"	"1"
"60104810"			"1"	
"60104820"			"1"	
"60104830"			"1"	
"60104840"			"1"	
"60104850"			"1"	
"60104860"			"1"	
"60104870"			"1"	
"60104880"			"1"	
"60104890"			"1"	
"60104891"				"1"
"60104990"				"1"
"60105000"			"1"	
"60105010"			"1"	
"60105020"				"1"
"60105030"				"1"
"60105410"			"1"	
"60105420"			"1"	
"60105430"			"1"	
"60105440"			"1"	
"60105450"				"1"
"60105460"			"1"	
"60105500"			"1"	"1"
"60105510"				"1"
"60105520"				"1"
"60105530"			"1"	
"60105540"				"1"
"60105730"			"1"	
"60105740"				"1"
"60105900"			"1"	"1"
"60105920"			"1"	
"60106100"			"1"	
"60106130"			"1"	
"60106300"			"1"	"1"
"60106600"			"1"	"1"
"60106700"			"1"	"1"
"60106800"			"1"	"1"
"60106900"			"1"	"1"
"60106910"			"1"	
"60106990"			"1"	
"60107000"			"1"	"1"
"60107040"			"1"	
"60107070"			"1"	
"60107080"			"1"	
"60107100"			"1"	"1"
"60107110"			"1"	
"60107120"			"1"	
"60107130"			"1"	
"60107140"			"1"	
"60107160"			"1"	"1"
"60107165"			"1"	
"60107180"			"1"	
"60107181"			"1"	
"60107182"			"1"	
"60107190"			"1"	
"60107191"			"1"	
"60107195"			"1"	
"60107200"			"1"	"1"
"60107240"				"1"
"60107245"			"1"	"1"
"60107255"			"1"	
"60107260"			"1"	
"60107265"			"1"	
"60107270"			"1"	"1"
"60107310"				"1"
"60107315"				"1"
"60107320"				"1"
"60107330"				"1"
"60107335"			"1"	
"60107337"			"1"	"1"
"60107340"				"1"
"60107350"			"1"	"1"
"60107401"				"1"
"60107402"				"1"
"60107403"			"1"	"1"
"60107405"			"1"	"1"
"60107411"			"1"	"1"
"60107700"			"1"	"1"
"60107800"				"1"
"60107810"				"1"
"60107820"				"1"
"60107830"				"1"
