"SID"	"IID"
"60106610.0                      "	"104.0026"
"60106700.0                      "	"104.0002"
"60106720.0                      "	"104.0002"
"60106800.0                      "	"104.0048"
"60106860.0                      "	"104.0022"
"60106900.0                      "	"104.0032"
"60106910.0                      "	"104.0046"
"60106990.0                      "	"104.0034"
"60107000.0                      "	"104.002 "
"60107070.0                      "	"104.0047"
"60107100.0                      "	"104.0028"
"60107110.0                      "	"104.0033"
"60107130.0                      "	"104.0017"
"60107140.0                      "	"104.0003"
"60107160.0                      "	"104.0014"
"60107165.0                      "	"104.0016"
"60107170.0                      "	"104.0015"
"60107180.0                      "	"104.0019"
"60107181.0                      "	"104.0035"
"60107182.0                      "	"104.0029"
"60107185.0                      "	"104.0014"
"60107190.0                      "	"104.003 "
"60107191.0                      "	"104.0005"
"60107195.0                      "	"104.0027"
"60107200.0                      "	"104.0025"
"60107220.0                      "	"104.0044"
"60107240.0                      "	"104.0013"
"60107245.0                      "	"104.0007"
"60107255.0                      "	"104.0008"
"60107260.0                      "	"104.0009"
"60107265.0                      "	"104.0018"
"60107270.0                      "	"104.0023"
"60107300.0                      "	"104.0042"
"60107310.0                      "	"104.0004"
"60107315.0                      "	"104.0038"
"60107320.0                      "	"104.0001"
"60107330.0                      "	"104.0024"
"60107335.0                      "	"104.0011"
"60107340.0                      "	"104.004 "
"60180205.0                      "	"104.0026"
"60190050.0                      "	"104.0043"
"60190052.0                      "	"104.0006"
"60190053.0                      "	"104.0012"
"60513500.0                      "	"104.0021"
"60514070.0                      "	"104.0039"
"60519030.0                      "	"104.0031"
"60538700.0                      "	"104.0002"
"60540160.0                      "	"104.0034"
"60540180.0                      "	"104.0031"
"60540200.0                      "	"104.0028"
"60540210.0                      "	"104.0003"
"60540220.0                      "	"104.0015"
"60540230.0                      "	"104.0025"
"60540250.0                      "	"104.003 "
"60540300.0                      "	"104.0027"
"60925500.0                      "	"104.0014"
"60928000.0                      "	"104.0042"
"60980100.0                      "	"104.0037"
"60980200.0                      "	"104.0041"
