"STCD"	"QKGD"	"DNPJJYL"	"ZDJYL"	"CXNF"
"        "	"0.7"			
"60102400"	"9.7"	"596.9"	"895.1"	"2001"
"60102650"	"3.7"	"596.7"	"748"	"2010"
"60103090"	"3.7"	"670.1"	"774.5"	"2013"
"60104600"	"0.7"	"1074.6"	"1570.8"	"1954"
"60105500"	"3.7"	"947.9"	"1484"	"1998"
"60105900"	"9.7"	"1127.8"	"1485.5"	"1982"
"60106300"	"4.7"	"967.4"	"1268.4"	"1998"
"60106600"	"4.7"	"1011.9"	"1376"	"2003"
"60106800"	"0.7"		"1754.4"	"1954"
"60106900"	"8.8"	"1155.7"	"1779.9"	"1970"
"60107000"	"13.7"	"1273"	"1895.3"	"2010"
"60107070"	"0.7"		"1780.5"	"2002"
"60107100"	"0.7"		"1600.8"	"1983"
"60107110"	"0.7"		"1698.5"	"2002"
"60107165"	"0.7"		"1490.5"	"2007"
"60107270"	"0.7"		"1745.5"	"2013"
"60107401"	"4.2"	"955.2"	"1096"	"2010"
"60107402"	"4.2"	"1323.9"	"1892.3"	"1983"
"60107405"	"16.2"	"982.3"	"1190.5"	"2010"
"60108100"	"0.7"	"1129.9"	"1658.7"	"1980"
"60109400"	"5.7"	"788.2"	"925"	"2013"
"60110220"	"0.7"	"1246.4"	"2063.4"	"2002"
"60110230"	"11.4"	"947.4"	"1201.5"	"2012"
"60111200"	"0.7"			
"60111700"	"0.7"			
"60112900"	"0.7"			
"60113205"	"0.7"			
"60513900"	"0.7"	"1045.8"	"1494.9"	"1983"
"60540350"	"1.2"		"1741.2"	"1989"
"61500500"	"0.7"			
"61501400"	"9.7"	"998.4"	"1580"	"2010"
"61501600"	"6.8"	"979.1"	"1247"	"2004"
"61501601"	"9.8"	"1210.9"	"2046.4"	"1954"
"61503200"	"0.7"			
"61506200"	"0.7"			
"61506500"	"0.7"			
"61506600"	"0.7"			
"61507700"	"0.7"			
"61508300"	"0.7"			
"61508400"	"0.7"			
"61509500"	"0.7"			
"61509900"	"0.7"			
"61511000"	"0.7"			
"61511900"	"0.7"			
"61705032"	"0.7"			
"61801775"	"3"	"880"	"1346.7"	"1967"
"61801850"	"3"			
"61802600"	"3"	"846"	"1073.7"	"2010"
"61803000"	"3"			
"61804111"	"0.7"			
"61804210"	"0.7"			
"61804300"	"0.7"			
"61804400"	"0.7"			
"61936950"	"0.7"			
