"STNM"	"STCD"	"CSNM"	"BSHNCD"	"WID"	"RVNM"	"SETDATEY"	"SETDATEM"	"WFCSNM1"	"WFCSNM2"	"SLPRV"	"SLCT"	"SLCO"	"SLTO"	"SLST"	"LGTDD"	"LGTDM"	"LGTDS"	"LTTDD"	"LTTDM"	"LTTDS"	"AGUN"	"ADBDSC"	"ANSO"	"ANSS"	"NT"
"沙市五七码头"	"60108300"	"沙市五七码头"	"F"	"F0"	"长江"	"1977"	"03"	"长江荆州开发利用区"	"长江荆州五七码头排污控制区"	"湖北省"	"荆州市沙市区"		"盐卡港集装箱码头"		"112"	"17"	"1"	"30"	"16"	"19"	"长江委水文局"			"1"	
"莲花塘"	"60111200"	"莲花塘"						"长江岳阳开发利用区"	"长江岳阳工业、农业用水区"															"1"	
"常熟港"	"60117405"	"长江常熟饮用、工业用水区（右岸）"	"F"	"F0"	"长江"	"2006"	"1"	"长江常熟开发利用区"	"长江常熟饮用、工业用水区"	"江苏省"	"苏州市"	"常熟市"	"碧溪新区浒浦"		"120"	"59"	"0"	"31"	"47"	"0"	"长江委水文局"			"1"	
"沙市砖瓦厂"	"60190100"	"沙市砖瓦厂"	"F"	"F0"	"长江"	"1977"	"03"	"长江荆州开发利用区"	"长江荆州城南饮用、工业用水区"	"湖北省"	"荆州市荆州区"		"虎渡河口下游"		"112"	"7"	"32"	"30"	"18"	"17"	"长江委水文局"			"1"	
"沙市学堂洲"	"60190120"	"沙市学堂洲"	"F"	"F0"	"长江"	"2005"	"07"	"长江荆州开发利用区"	"长江荆州城南饮用水源、工业用水区"	"湖北省"	"荆州市沙市区"		"学堂洲"		"112"	"12"	"11"	"30"	"19"	"14"	"长江委水文局"			"1"	
"江陵观音寺"	"60190150"	"江陵观音寺"	"F"	"F0"	"长江"	"1980"	"01"	"长江荆州开发利用区"	"长江荆州观音寺过渡区"	"湖北省"	"荆州市"	"江陵县"	"观音寺闸上约1000米处"		"112"	"15"	"39"	"30"	"12"	"40"	"长江委水文局"			"1"	
"塔市驿"	"60190190"	"塔市驿"	"F"	"F0"	"长江"	"2010"	"01"	"长江石首～监利白鳍豚保护区"		"湖南省"	"岳阳市"	"华容县"	"塔市驿镇"		"112"	"47"	"5"	"29"	"44"	"14"	"长江委水文局"	"1"		"1"	
"浦口水厂"	"60190431"	"浦口水厂"	"F"	"F0"	"长江"	"2006"	"3"	"长江南京浦口、大厂开发利用区（左岸）"	"长江南京浦口饮用、渔业用水区(左岸)"	"江苏省"	"南京市"	"浦口区"			"118"	"41"	"32"	"32"	"4"	"26"	"长江委水文局"	"0"		"1"	
"中山码头"	"60190432"	"中山码头"	"F"	"F0"	"长江"	"2006"	"3"	"长江南京开发利用区（右岸）"	"长江南京工业、渔业用水区(右岸)"	"江苏省"	"南京市"	"下关区"			"118"	"43"	"31"	"32"	"5"	"29"	"长江委水文局"	"0"		"1"	
"南京G（八卦洲下游西坝）"	"60190460"	"南京G（八卦洲下游西坝）"	"F"	"F0"	"长江"	"1978"	"2"	"长江南京开发利用区"	"长江南京燕子矶工业、渔业用水区(右岸)"	"江苏省"	"南京市"	"六合区"	"龙袍乡"		"118"	"54"	"22"	"32"	"10"	"20"	"长江委水文局"	"0"		"1"	
"南京H（石化厂下游）"	"60190470"	"南京H（石化厂下游）"	"F"	"F0"	"长江"	"1976"	"11"	"长江南京开发利用区"	"长江南京燕子矶工业、渔业用水区"	"江苏省"	"南京市"	"栖霞区"			"118"	"56"	"34"	"32"	"10"	"0"	"长江委水文局"	"0"		"1"	
